"";"Fechas";"DriveIDs";"idTemp$name"
"67";2014-08-01;"1WRqJ9JRcK_qAuWD1liTP_0wX-MPDw9sW";"Temperaturas2014-08-01.tif"
"68";2014-07-01;"1spBcmqRLAqWFXylDfjMSz0kjwERk8kk8";"Temperaturas2014-07-01.tif"
"69";2014-06-01;"13OJm4OmDy147T-rkYUK0gMq4WQiKKg5K";"Temperaturas2014-06-01.tif"
"70";2014-05-01;"1p0YVkqS85o6tr_iQP-xWsA_G5bzgZPye";"Temperaturas2014-05-01.tif"
"71";2014-04-01;"1pwuianDXNdE8gUuLodfic55J_jjt9g4C";"Temperaturas2014-04-01.tif"
"72";2014-03-01;"1VKmCZCiGo6ejYgLIvSyLBprqFj1Gnz12";"Temperaturas2014-03-01.tif"
"73";2014-02-01;"1JF_lEQAhTKjop6cJn1ixYY5-LF1_GLKB";"Temperaturas2014-02-01.tif"
"74";2014-01-01;"1h0IomOXDMK1h8YY704d5e0A3IhCfCoFc";"Temperaturas2014-01-01.tif"
"75";2013-12-01;"1UbdvoKo_pDhVAkfJCYLwq6Cd-4HWvZbA";"Temperaturas2013-12-01.tif"
"76";2013-11-01;"17PvAM-37SXjqzI2IprRZ9Hfp06bM2GyI";"Temperaturas2013-11-01.tif"
"77";2013-10-01;"1TqAA9a45uCf41YWsebY3GVfGt3eSMXrY";"Temperaturas2013-10-01.tif"
"78";2013-09-01;"17V8v0-4q1pvn19pjEl0lLYcj_bahEa20";"Temperaturas2013-09-01.tif"
"79";2013-08-01;"1_YUbuaAxbQ0sfP03Rn4YAduGnWUZibKs";"Temperaturas2013-08-01.tif"
"80";2013-07-01;"1pq-3qq_puv9ksaKixHuY4bkp1A7rI0pJ";"Temperaturas2013-07-01.tif"
"81";2013-06-01;"1oem0Zzv6UNa9mfs8elO8IYUYpM-3Okxv";"Temperaturas2013-06-01.tif"
"82";2013-05-01;"14iTb_Jo4UnJZbJH6-Oh0mLnmY24alfbh";"Temperaturas2013-05-01.tif"
"83";2013-04-01;"1B38lhHL_yqgKWKu6eTlUrhq7daeHOgr0";"Temperaturas2013-04-01.tif"
"84";2013-03-01;"1m9U1kX3wevo1-K9KfYpmgbmqyYU9BrvF";"Temperaturas2013-03-01.tif"
